"","name","team","position","age","height","feet","inches","weight","college","salary"
"349","Willy Hernangomez","New Orleans Pelicans","C",27,83,6,11,250,"nan",2327220
"350","Brandon Ingram","New Orleans Pelicans","SF",24,80,6,8,190,"Duke",29467800
"351","Herbert Jones","New Orleans Pelicans","SF",22,80,6,8,210,"Alabama",1700000
"352","Kira Lewis Jr.","New Orleans Pelicans","PG",20,73,6,1,170,"Alabama",3822240
"353","Didi Louzada","New Orleans Pelicans","SF",22,77,6,5,185,"nan",1786878
"354","Naji Marshall","New Orleans Pelicans","SF",23,79,6,7,220,"Xavier",1517981
"355","Trey Murphy III","New Orleans Pelicans","SG",21,81,6,9,206,"Virginia",3053760
"356","Tomas Satoransky","New Orleans Pelicans","SG",29,79,6,7,210,"nan",1e+07
"357","Garrett Temple","New Orleans Pelicans","SF",35,77,6,5,195,"LSU",4910000
"358","Jonas Valanciunas","New Orleans Pelicans","C",29,83,6,11,265,"nan",1.4e+07
"359","Zion Williamson","New Orleans Pelicans","PF",21,79,6,7,284,"Duke",10733400
"360","Al-Farouq Aminu","San Antonio Spurs","PF",30,80,6,8,220,"Wake Forest",10183800
"361","Zach Collins","San Antonio Spurs","PF",23,83,6,11,250,"Gonzaga",7e+06
"362","Drew Eubanks","San Antonio Spurs","PF",24,81,6,9,245,"Oregon State",1762796
"363","Bryn Forbes","San Antonio Spurs","SG",28,74,6,2,205,"Cleveland State",4500000
"364","DaQuan Jeffries","San Antonio Spurs","SG",24,77,6,5,225,"Western Texas Coll. (J.C.)",1701593
"365","Keldon Johnson","San Antonio Spurs","SF",21,77,6,5,220,"Kentucky",2145720
"366","Tre Jones","San Antonio Spurs","PG",21,73,6,1,185,"Duke",1517981
"367","Jock Landale","San Antonio Spurs","C",25,83,6,11,255,"Saint Mary's",925258
"368","Doug McDermott","San Antonio Spurs","SF",29,79,6,7,225,"Creighton",13750000
"369","Dejounte Murray","San Antonio Spurs","PG",24,76,6,4,180,"Washington",15428880
"370","Jakob Poeltl","San Antonio Spurs","C",25,85,7,1,245,"Utah",8750000
"371","Joshua Primo","San Antonio Spurs","SG",18,78,6,6,190,"Alabama",3946800
"372","Luka Samanic","San Antonio Spurs","PF",21,73,6,1,227,"nan",2959080
"373","Devin Vassell","San Antonio Spurs","SG",21,77,6,5,200,"Florida State",4235160
"374","Lonnie Walker IV","San Antonio Spurs","SG",22,76,6,4,204,"Miami (FL)",4447896
"375","Derrick White","San Antonio Spurs","PG",27,76,6,4,190,"Colorado",15178571
"376","Thaddeus Young","San Antonio Spurs","PF",33,80,6,8,235,"Georgia Tech",14190000
"377","Will Barton","Denver Nuggets","SF",30,78,6,6,181,"Memphis",15625000
"378","Bol Bol","Denver Nuggets","C",21,86,7,2,220,"Oregon",2161152
"379","Facundo Campazzo","Denver Nuggets","PG",30,61,5,1,195,"nan",3200000
"380","Vlatko Cancar","Denver Nuggets","SF",24,80,6,8,236,"nan",1782621
"381","PJ Dozier","Denver Nuggets","SG",24,78,6,6,205,"South Carolina",1910860
"382","Aaron Gordon","Denver Nuggets","PF",25,80,6,8,235,"Arizona",16409091
"383","JaMychal Green","Denver Nuggets","PF",31,80,6,8,227,"Alabama",8200000
"384","Jeff Green","Denver Nuggets","PF",35,80,6,8,235,"Georgetown",4500000
"385","Nah'Shon Hyland","Denver Nuggets","PG",20,75,6,3,165,"Virginia Commonwealth",2096880
"386","Nikola Jokic","Denver Nuggets","C",26,83,6,11,284,"nan",31579390
"387","Monte Morris","Denver Nuggets","PG",26,74,6,2,183,"Iowa State",8449074
"388","Jamal Murray","Denver Nuggets","PG",24,75,6,3,215,"Kentucky",29467800
"389","Zeke Nnaji","Denver Nuggets","PF",20,81,6,9,240,"Arizona",2498760
"390","Michael Porter Jr.","Denver Nuggets","SF",23,73,6,1,218,"Missouri",5258735
"391","Austin Rivers","Denver Nuggets","SG",29,76,6,4,200,"Duke",1669178
"392","Malik Beasley","Minnesota Timberwolves","SG",24,76,6,4,187,"Florida State",14491964
"393","Patrick Beverley","Minnesota Timberwolves","PG",33,73,6,1,180,"Arkansas",14320988
"394","Anthony Edwards","Minnesota Timberwolves","SF",20,76,6,4,225,"Georgia",10245480
"395","Jake Layman","Minnesota Timberwolves","SF",27,80,6,8,209,"Maryland",3940185
"396","Jaden McDaniels","Minnesota Timberwolves","PF",20,81,6,9,185,"Washington",2063280
"397","Jaylen Nowell","Minnesota Timberwolves","SG",22,76,6,4,201,"Washington",1782621
"398","Josh Okogie","Minnesota Timberwolves","SF",23,76,6,4,213,"Georgia Tech",4087904
"399","Taurean Prince","Minnesota Timberwolves","PF",27,79,6,7,218,"Baylor",1.3e+07
"400","Naz Reid","Minnesota Timberwolves","C",22,81,6,9,264,"LSU",1782621
"401","D'Angelo Russell","Minnesota Timberwolves","PG",25,76,6,4,193,"Ohio State",30013500
"402","Karl-Anthony Towns","Minnesota Timberwolves","C",25,83,6,11,248,"Kentucky",31650600
"403","Darius Bazley","Oklahoma City Thunder","PF",21,80,6,8,208,"nan",2513040
"404","Charlie Brown Jr.","Oklahoma City Thunder","PF",24,78,6,6,199,"Saint Joseph's",1701593
"405","Gabriel Deck","Oklahoma City Thunder","SF",26,78,6,6,231,"nan",3676852
"406","Luguentz Dort","Oklahoma City Thunder","SF",22,75,6,3,215,"Arizona State",1782621
"407","Derrick Favors","Oklahoma City Thunder","C",30,81,6,9,265,"Georgia Tech",9720900
"408","Josh Giddey","Oklahoma City Thunder","SG",18,80,6,8,205,"nan",5988000
"409","Shai Gilgeous-Alexander","Oklahoma City Thunder","SG",23,78,6,6,180,"Kentucky",5495532
"410","Ty Jerome","Oklahoma City Thunder","SG",24,77,6,5,195,"Virginia",2412840
"411","Theo Maledon","Oklahoma City Thunder","PG",20,76,6,4,175,"nan",2e+06
"412","Tre Mann","Oklahoma City Thunder","PG",20,75,6,3,178,"Florida",2901240
"413","Mike Muscala","Oklahoma City Thunder","C",30,73,6,1,240,"Bucknell",3365385
"414","Aleksej Pokusevski","Oklahoma City Thunder","PF",19,84,7,0,190,"nan",3113160
"415","Jeremiah Robinson-Earl","Oklahoma City Thunder","PF",20,80,6,8,242,"Villanova",2e+06
"416","Isaiah Roby","Oklahoma City Thunder","C",23,80,6,8,230,"Nebraska",1782621
"417","Kenrich Williams","Oklahoma City Thunder","SF",26,78,6,6,210,"TCU",2e+06
"418","Greg Brown","Portland Trail Blazers","PF",20,81,6,9,205,"Texas",925258
"419","Robert Covington","Portland Trail Blazers","PF",30,79,6,7,209,"Tennessee State",12975471
"420","CJ Elleby","Portland Trail Blazers","SG",21,78,6,6,200,"Washington State",1517981
"421","Damian Lillard","Portland Trail Blazers","PG",31,74,6,2,195,"Weber State",39344900
"422","Nassir Little","Portland Trail Blazers","SF",21,77,6,5,220,"North Carolina",2316240
"423","CJ McCollum","Portland Trail Blazers","SG",29,75,6,3,190,"Lehigh",30864198
"424","Ben McLemore","Portland Trail Blazers","SG",28,75,6,3,195,"Kansas",1669178
"425","Larry Nance Jr.","Portland Trail Blazers","PF",28,79,6,7,245,"Wyoming",10690909
"426","Jusuf Nurkic","Portland Trail Blazers","C",27,83,6,11,290,"nan",1.2e+07
"427","Norman Powell","Portland Trail Blazers","SF",28,75,6,3,215,"UCLA",15517241
"428","Anfernee Simons","Portland Trail Blazers","SG",22,75,6,3,181,"nan",3938818
"429","Tony Snell","Portland Trail Blazers","SF",29,78,6,6,213,"New Mexico",1669178
"430","Cody Zeller","Portland Trail Blazers","C",28,83,6,11,240,"Indiana",1669178
"431","Udoka Azubuike","Utah Jazz","C",21,73,6,1,280,"Kansas",2075880
"432","Bojan Bogdanovic","Utah Jazz","SF",32,79,6,7,226,"nan",18700000
"433","Jarrell Brantley","Utah Jazz","PF",25,77,6,5,250,"Charleston",1669178
"434","Jared Butler","Utah Jazz","SG",21,75,6,3,195,"Baylor",925258
"435","Jordan Clarkson","Utah Jazz","PG",29,76,6,4,194,"Missouri",12420000
"436","Mike Conley","Utah Jazz","PG",33,73,6,1,175,"Ohio State",2.1e+07
"437","Rudy Gay","Utah Jazz","SF",35,80,6,8,250,"Connecticut",5890000
"438","Rudy Gobert","Utah Jazz","C",29,85,7,1,258,"nan",35344828
"439","Elijah Hughes","Utah Jazz","SF",23,77,6,5,215,"Syracuse",1517981
"440","Joe Ingles","Utah Jazz","SG",33,80,6,8,220,"nan",13036364
"441","Donovan Mitchell","Utah Jazz","SG",25,73,6,1,215,"Louisville",28103500
"442","Royce O'Neale","Utah Jazz","PF",28,76,6,4,226,"Baylor",8800000
"443","Olumiye Oni","Utah Jazz","SG",24,77,6,5,206,"Yale",1782621
"444","Eric Paschall","Utah Jazz","PF",24,78,6,6,255,"Villanova",1782621
"445","Hassan Whiteside","Utah Jazz","C",32,84,7,0,265,"Marshall",1669178
