Nom,TEAM,POS,AGE,GP,MPG,MIN%Minutes Percentage,USG%Usage RateUsage,TO%Turnover,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
Marvin Bagley III,Sac,F,"22,93",30,"21,9","45,6","18,7","7,3",47,"0,745",184,"0,538",62,"0,242","0,494","0,521","9,3","7,2","17,6","0,6","3,9","0,3","0,37","0,7","6,3",111,"108,4"
LaMelo Ball,Cha,G,"20,49",51,"32,4","67,6",28,"14,6",180,"0,867",488,"0,467",370,"0,373","0,507","0,547","20,1",7,"11,3","7,5","35,2","1,59","0,39","3,14","12,6",111,"104,9"
Lonzo Ball,Chi,G,"24,31",35,"34,6","72,2","17,3","17,2",28,"0,75",123,"0,423",260,"0,423","0,567","0,575",13,"5,4","8,7","5,1","19,9","1,83","0,89","2,34","8,2","109,8","106,4"
Mo Bamba,Orl,C,"23,77",48,26,"54,1","16,8","12,4",50,"0,8",226,"0,562",176,"0,347","0,544","0,563","9,9","7,9","16,1","1,3","7,9","0,6","1,88","1,25","7,2","109,8","103,6"
Desmond Bane,Mem,G,"23,64",54,"30,1","62,7",23,"9,4",100,"0,9",405,"0,506",369,"0,415","0,561","0,586","17,8","4,5","7,8","2,5","12,4","1,17","0,46","1,57","7,8","115,3","104,5"
Dalano Banton,Tor,F,"22,28",46,"11,9","24,8","17,6","20,4",32,"0,625",122,"0,467",43,"0,256","0,445","0,466","3,6","2,2",10,"1,6","19,1","0,5","0,17",1,"7,8","95,9","103,3"
Cat Barber,Atl,G,20,3,"4,3","8,9","23,1","14,8",4,0,4,0,0,0,0,0,0,1,"12,8",1,"27,5",0,0,"0,33",0,"37,3","110,4"
Harrison Barnes,Sac,F,"29,71",54,"33,7","70,2","19,3","10,3",301,"0,827",343,"0,51",261,"0,406","0,553","0,623",17,"6,1","9,8","2,5","10,8","0,7","0,17","1,57","7,6","122,1","114,4"
Scottie Barnes,Tor,F,"20,54",48,"35,5",74,"18,6","12,1",146,"0,733",457,"0,514",128,"0,313","0,504","0,537","14,5","7,5","11,5","3,3",14,"0,98","0,79","1,85",8,"112,7","106,5"
RJ Barrett,Nyk,F-G,"21,67",48,"33,1","68,9","25,9","10,1",223,"0,695",472,"0,445",271,"0,354","0,476","0,513",18,"5,7","9,1","2,6","13,5","0,54","0,29","1,96","7,8","102,8","107,8"
Will Barton,Den,G,"31,11",50,"32,6","67,8","21,4","11,8",88,"0,784",354,"0,508",304,"0,375","0,533","0,553","15,4",5,"8,5",4,"18,4","0,84","0,52","1,86","8,3",108,"109,5"
Charles Bassey,Phi,C-F,"21,3",22,"7,3","15,2","15,7","14,3",11,"0,727",39,"0,718",4,0,"0,651","0,669","2,9","2,7","20,7","0,3","6,8","0,18","0,77","0,36","7,3","130,6","88,4"
Paris Bass,Pho,F,"26,47",2,"3,7","7,7","51,7","22,5",2,1,4,"0,5",2,0,"0,333","0,436",3,2,"28,7",0,0,"0,5",0,1,0,,
Keita Bates-Diop,San,F,"26,06",44,"16,4","34,1","14,3","12,8",42,"0,69",151,"0,55",42,"0,333","0,539","0,56","5,4","3,9","12,6","0,6","4,7","0,48","0,3","0,7","5,7","108,8","107,8"
Nicolas Batum,Lac,G-F,"33,17",38,"24,9","51,9","13,3","9,8",24,"0,667",68,"0,691",180,"0,411","0,637","0,642","8,7","4,4","9,3","1,5","8,7",1,"0,71","0,74","6,2","120,4","105,7"
Kent Bazemore,Lal,G-F,"32,63",31,"14,7","30,6","12,9","7,3",17,"0,765",54,"0,296",65,"0,354","0,424","0,451","3,7","1,7","6,3","0,9","8,4","0,65","0,19","0,32","4,8","98,2","102,1"
