Nom,TEAM,POS,AGE,GP,MPG,MIN%Minutes Percentage,USG%Usage RateUsage,TO%Turnover,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
Kentavious Caldwell-Pope,Was,G,"28,99",53,"29,4","61,2",18,10,75,"0,893",261,"0,441",273,"0,374","0,502","0,532","11,4","3,4","6,3","1,7","8,4","1,04","0,38","1,19","5,5","102,8","110,5"
Facundo Campazzo,Den,G,"30,9",54,"20,3","42,3","14,9",17,72,"0,806",97,"0,485",178,"0,32","0,482","0,527",6,"1,9","5,3","3,7","24,3","1,07","0,39","1,17","6,9",111,"103,1"
Vlatko Cancar,Den,F,"24,85",14,"10,9","22,7","15,1","15,3",12,"0,75",27,"0,556",12,"0,583","0,654","0,678","4,3","1,6","8,4","0,9","12,1","0,14","0,21","0,57","6,7","123,8","106,6"
Clint Capela,Atl,C,"27,75",48,"28,1","58,5","15,5","6,1",116,"0,466",397,"0,589",1,0,"0,588","0,581","10,9","12,2","23,7","1,4","7,2","0,73","1,33","0,6","8,1","130,3","104,5"
Vernon Carey Jr.,Cha,F-C,"20,97",4,"4,2","8,8","20,8",12,3,"0,667",6,"0,5",0,0,"0,5","0,546",2,"1,3","15,5",0,0,"0,25",0,"0,25",0,"113,3","109,9"
Vernon Carey Jr.,Was,F-C,"20,97",1,"1,4","2,9",0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
Wendell Carter Jr.,Orl,C-F,"22,84",50,"29,4","61,2","20,3","12,7",153,"0,706",352,"0,605",181,"0,315","0,56","0,587","14,1","10,2","18,5","2,7",15,"0,64","0,7","1,74","9,9",114,"103,1"
Jevon Carter,Bro,G,"26,42",44,"11,9","24,7","15,2","10,9",8,"0,75",44,"0,295",116,"0,336","0,447","0,456","3,4","1,4","6,3",1,"10,8","0,32","0,23","0,45","5,7","94,7","108,2"
Alex Caruso,Chi,G,"27,97",28,"27,7","57,7","14,1","16,1",59,"0,814",95,"0,505",87,"0,345","0,511","0,563","8,4","3,9","7,7","3,9","18,2","1,93","0,39","1,43","7,3","115,2",104
Willie Cauley-Stein,Dal,C,"28,5",18,"9,8","20,5","10,8","16,3",2,"0,5",33,"0,455",2,"0,5","0,471","0,474","1,9","2,1","11,8","0,5","7,1","0,33","0,17","0,39","5,1","102,2","99,5"
Ahmad Caver,Ind,G,20,1,"0,9","1,9","47,8",0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,,
Justin Champagnie,Tor,G-F,"20,63",31,"8,2","17,2","11,9","9,9",9,1,38,"0,526",22,"0,409","0,558","0,594","2,5","2,1","13,8","0,3","4,9","0,23","0,13","0,23","5,7","132,3","102,2"
Zylan Cheatham,Uta,F,"26,25",1,"5,2","10,8","25,1",0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"118,3"
Chris Chiozza,Gol,G,"26,24",26,"10,7","22,4","13,6","25,2",1,1,22,"0,136",43,"0,372","0,415","0,42","2,1","1,2","5,8","1,8",22,"0,35",0,"0,85","6,2","91,7","102,1"
Marquese Chriss,Dal,F,"24,63",23,"11,1","23,2","22,1","13,5",19,"0,632",80,"0,513",21,"0,333","0,51","0,526",5,"3,5","17,1","0,5","7,5","0,48","0,43","0,74","7,4","101,9","85,8"
Josh Christopher,Hou,G,"20,19",48,"16,4","34,2","20,7","17,6",64,"0,766",176,"0,545",114,"0,333","0,528","0,558","7,4",2,"6,7","1,7","16,2","0,85","0,13","1,42","7,1","103,1","113,6"
Brandon Clarke,Mem,F,"25,41",43,19,"39,6","17,8","6,5",86,"0,698",274,"0,679",18,"0,222","0,658","0,673","10,3","5,3","14,7","1,5","11,7","0,49","1,07","0,53","9,1","139,1","102,9"
Gary Clark,Nor,F,"27,25",25,"11,5","23,9",11,"6,9",8,"0,75",11,"0,273",53,"0,396","0,539","0,555",3,"2,8","13,3","0,4","4,8","0,4","0,28","0,2","5,2","118,5",108
Jordan Clarkson,Uta,G,"29,69",54,"26,5","55,2",27,"9,7",113,"0,832",323,"0,511",429,"0,322","0,495","0,523","15,5","3,4",7,"2,4","14,2","0,74","0,24","1,59","7,6","105,7","106,3"
Nic Claxton,Bro,F-C,"22,83",25,"21,2","44,2",16,"9,2",53,"0,566",155,"0,639",0,0,"0,639","0,639","9,1","5,6","14,2","0,8","5,9","0,48","1,12","0,72","6,5","128,9","103,9"
Amir Coffey,Lac,G-F,"24,67",46,"22,1",46,"14,5","7,2",75,"0,88",115,"0,548",163,"0,393","0,572","0,617","8,3",3,"7,2","1,6","10,2","0,5","0,22","0,52","6,2","124,3","107,9"
John Collins,Atl,F-C,"24,4",50,"31,3","65,2","20,5","7,7",160,"0,794",445,"0,591",160,"0,388","0,588","0,621","16,8","7,9","13,8","1,9","9,3","0,64","1,08","1,12","8,1","124,6","105,8"
Zach Collins,San,F-C,"24,24",4,"16,4","34,2","20,5","15,7",4,"0,5",19,"0,474",6,"0,5","0,54","0,542","7,3",5,16,"2,5","21,3",1,"0,25","1,25",11,"110,8","97,3"
Darren Collison,Lal,G,"34,48",3,"12,4","25,8","9,2","12,5",0,0,4,"0,5",3,0,"0,286","0,286","1,3","1,3","5,7","0,7","6,8","0,33",0,"0,33","3,4","64,5","101,7"
Mike Conley,Uta,G,"34,35",51,"28,3","58,9",21,"12,4",115,"0,835",262,"0,473",297,"0,414","0,552","0,585",14,"3,1","5,9","5,3","27,7","1,22","0,33","1,69","8,7","121,6","106,2"
Pat Connaughton,Mil,G,"29,11",54,27,"56,2","13,6","6,7",37,"0,811",108,"0,639",307,"0,407","0,618","0,63","10,1","4,4","8,5","1,2","6,3","0,94","0,26","0,57","5,6","124,4","107,9"
Tyler Cook,Chi,F,"24,4",19,"10,3","21,5","12,7","12,4",31,"0,645",36,"0,611",0,0,"0,611","0,645","3,4","2,7","14,7","0,2",2,"0,21","0,21","0,37","4,8","127,8","100,2"
Sharife Cooper,Atl,G,"20,68",11,"3,2","6,7","23,5","26,3",0,0,8,"0,25",6,"0,167","0,25","0,25","0,6","0,5","7,7","0,5","18,4",0,0,"0,45","6,6",,
Petr Cornelie,Den,F,"26,56",13,"2,9","6,1","24,1","19,3",4,"0,75",7,"0,571",8,"0,125","0,367","0,418","1,1","1,1","20,5","0,2",11,"0,08","0,08","0,31","8,6",,
DeMarcus Cousins,Mil,C,"31,51",17,"16,9","35,1","22,6","10,6",38,"0,816",70,"0,6",48,"0,271","0,521","0,572","9,1","5,8",18,"1,1","9,6","0,94","0,47","0,94","9,2","115,6","90,9"
DeMarcus Cousins,Den,C,"31,51",7,"13,1","27,3","34,6","23,6",18,"0,722",30,"0,3",17,"0,235","0,319","0,391","6,1","6,4","27,2",1,"10,8","0,71","0,29","2,43","10,4","77,1",80
Robert Covington,Por,F,"31,17",48,"29,8","62,1","12,5","14,2",36,"0,833",106,"0,462",230,"0,343","0,499","0,519","7,6","5,7","10,5","1,4","6,6","1,54","1,31","1,21","5,3","100,6","105,5"
Robert Covington,Lac,F,"31,17",5,"20,2","42,1","18,6",14,13,"0,769",12,"0,667",19,"0,368","0,597","0,64","9,4","3,4","8,8","0,8","5,9","1,2","0,8","1,2","5,8","116,1","95,8"
Torrey Craig,Ind,F,"31,16",51,"20,3","42,2",14,"11,6",35,"0,771",143,"0,573",138,"0,333","0,537","0,555","6,5","3,8","10,4","1,1","7,9","0,47","0,37","0,76","5,9","112,4","108,1"
Torrey Craig,Pho,F,"31,16",1,23,"47,9","18,7",10,0,0,6,"0,667",3,"0,667","0,778","0,778",14,3,"6,9",4,"27,3",2,0,1,"9,6","143,2","107,3"
Jae Crowder,Pho,F,"31,61",46,"28,3","58,9",14,"9,2",53,"0,83",118,"0,517",243,"0,337","0,51","0,536",9,"5,3",10,"1,5","6,8","1,2","0,46","0,85","5,9","106,2","99,4"
Jarrett Culver,Mem,G-F,"22,99",26,"9,1",19,"19,5","9,8",21,"0,524",61,"0,475",31,"0,323","0,478","0,489","3,8","1,5","8,4",1,"14,5","0,54","0,12","0,42","7,9","104,3","100,5"
Jarron Cumberland,Por,G,"24,4",3,"4,1","8,5","7,1",0,0,0,1,1,1,0,"0,5","0,5","0,7",1,"13,3","0,3","11,1",0,0,0,"5,8","138,6","101,1"
Cade Cunningham,Det,G,"20,39",43,"31,7","66,1","26,2","18,1",88,"0,864",380,"0,445",266,"0,323","0,461","0,491","15,6","5,4","9,2","5,1","27,7","1,33","0,67","3,51","9,5","93,1","106,8"
Seth Curry,Phi,G,"31,48",45,"34,8","72,5","18,6",13,73,"0,877",278,"0,561",250,"0,4","0,58","0,603",15,"3,4","5,3",4,"17,7","0,8","0,24","1,87","6,8","113,4","108,1"
Stephen Curry,Gol,G,"33,92",53,"34,8","72,4","31,3","13,1",255,"0,918",383,"0,501",656,"0,381","0,546","0,594","25,8","5,3","8,3","6,3","30,7","1,4","0,4","3,26","10,9","114,1","102,7"
Anthony Davis,Lal,F-C,"28,93",36,"35,6","74,1","26,9","9,5",225,"0,707",561,"0,576",65,"0,169","0,542","0,578","23,3","9,9","14,8","2,9","13,9","1,22","2,33","2,11","9,8","115,2","105,1"
Ed Davis,Cle,C-F,"32,7",19,"7,5","15,6",7,"22,2",8,"0,375",14,"0,643",0,0,"0,643","0,599","1,1","2,3","16,8","0,3","4,6","0,16","0,42","0,26","4,9","110,1",86
Terence Davis,Sac,G,"24,75",30,"17,9","37,2","25,4","10,3",44,"0,818",118,"0,542",149,"0,329","0,515","0,543","10,4","3,1","9,4","1,3","11,9","0,83","0,37","1,1","7,8","103,7","102,7"
Gabriel Deck,Okc,F,"27,02",7,"7,9","16,5","12,5","12,5",0,0,10,"0,6",4,"0,5","0,643","0,643","2,6","0,9","5,5","0,7","14,3","0,14",0,"0,29",6,"120,8",112
Dewayne Dedmon,Mia,C,"32,51",50,"16,4","34,2","16,7","17,4",72,"0,778",193,"0,591",31,"0,516","0,616","0,649","6,6","6,1",21,"0,7","6,9","0,42","0,54","1,08","7,4","120,8","91,1"
Sam Dekker,Tor,F,"27,78",1,"0,9","1,9",0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
Javin DeLaurier,Mil,C,20,1,"2,8","5,8",0,,0,0,0,0,0,0,,,0,1,"18,8",0,0,1,0,0,0,,
DeMar DeRozan,Chi,G-F,"32,53",54,"35,5",74,"31,7",9,435,"0,864",969,"0,534",98,"0,337","0,531","0,6","27,9","5,2","8,1","5,1","24,6","0,85","0,31","2,31","10,2","119,8","109,5"
Mamadi Diakite,Okc,F,"25,07",13,"14,4","30,1","13,4","10,4",11,"0,545",42,"0,595",5,0,"0,532","0,54","4,3","4,5","15,7","0,2","1,7","0,38","0,69","0,46","4,4","109,6","91,6"
Cheick Diallo,Det,F-C,"25,42",3,"10,2","21,3","16,3","8,6",6,"0,833",8,"0,375",0,0,"0,375","0,517","3,7",4,21,0,0,"0,33",0,"0,33",0,115,"92,3"
Hamidou Diallo,Det,G,"23,55",50,"22,7","47,3","21,3","8,9",121,"0,645",379,"0,554",82,"0,244","0,521","0,543","11,2","4,9","11,7","1,2","9,4","1,22","0,34",1,"7,1","107,3",103
Gorgui Dieng,Atl,C,"32,08",36,"9,1","18,9","16,5","15,4",24,"0,708",42,"0,548",52,"0,423","0,596","0,617","3,6",3,"18,1","0,8","12,4","0,28","0,36","0,53",9,"122,2","99,5"
Spencer Dinwiddie,Was,G,"28,86",44,"30,2",63,21,"11,6",143,"0,811",266,"0,432",226,"0,31","0,447","0,501","12,6","4,7","8,5","5,8","28,1","0,61","0,16","1,66","9,3","108,6",108
Donte DiVincenzo,Mil,G,"25,04",17,"20,1","41,8","19,9","17,7",27,"0,852",44,"0,409",74,"0,284","0,419","0,47","7,2","3,5","9,3","1,7","11,6","0,65","0,18","1,65",7,"93,5","105,6"
Donte DiVincenzo,Sac,G,"25,04",2,"23,1",48,"21,1","4,4",4,1,7,"0,429",13,"0,231","0,375","0,437","9,5",5,"11,6","3,5","21,4",3,0,"0,5","9,5","104,2","106,1"
Luka Doncic,Dal,F-G,"22,97",42,"35,3","73,5","36,7","15,3",296,"0,733",556,"0,527",343,"0,329","0,514","0,555","27,2",9,14,"9,1",48,"1,19","0,48","4,43","14,8","108,3","100,3"
Luguentz Dort,Okc,G,"22,83",51,"32,7",68,"23,4","9,8",191,"0,843",335,"0,487",391,"0,332","0,493","0,541","17,2","4,2","6,5","1,7","8,9","0,9","0,35","1,73","6,1","104,6","104,9"
Ayo Dosunmu,Chi,G,"22,08",53,"25,6","53,4","13,3","15,1",58,"0,655",201,"0,597",121,"0,413","0,606","0,616","8,1","2,7","5,9",3,"15,7","0,68","0,36","1,17","6,3","116,7","107,2"
Damyean Dotson,Nyk,G,"27,78",2,"10,3","21,5","8,5",0,0,0,3,"0,667",1,0,"0,5","0,5",2,1,"5,2","0,5","7,1",0,0,0,"3,9","113,3","117,4"
Devon Dotson,Chi,G,"22,54",11,"7,7","16,1","16,5","15,6",9,"0,556",14,"0,643",9,"0,222","0,522","0,538","2,6","0,8","5,9","1,4","23,7","0,09",0,"0,45","7,4","109,5","103,5"
Sekou Doumbouya,Lal,F,"21,15",2,"8,2","17,1","30,8",17,4,"0,75",6,"0,667",2,"0,5","0,688","0,717",7,3,"19,4",0,0,"1,5",1,1,0,"117,9",96
Jeff Dowtin,Gol,G,"24,77",4,"6,9","14,4",11,"14,3",0,0,5,"0,6",1,0,"0,5","0,5","1,5","1,8","13,6","0,8","14,9",0,"0,25","0,25","7,5","108,8","101,5"
Jeff Dowtin,Mil,G,"24,77",1,3,"6,3","14,3",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
P.J. Dozier,Den,G-F,"25,31",18,"18,9","39,4","15,3",11,13,"0,769",51,"0,412",48,"0,313","0,439","0,463","5,4","3,5","10,3","1,6","11,5","0,61","0,33","0,72","6,6","100,2","103,2"
Goran Dragic,Tor,G,"35,78",5,18,"37,4","18,8","2,5",10,1,20,"0,45",14,"0,286","0,441","0,521",8,"2,8","8,5","1,8","14,6",1,"0,2","0,2","7,6","122,1","103,9"
Andre Drummond,Phi,C,"28,52",49,"18,4","38,4","17,7","22,4",82,"0,512",236,"0,542",2,0,"0,538","0,544","6,1","8,8","26,6",2,"15,9","1,16","0,92","1,61","10,3","111,4","90,3"
Chris Duarte,Ind,G,"24,68",50,"28,7","59,7","21,2","11,8",106,"0,792",336,"0,485",239,"0,364","0,51","0,54","13,4","4,1","7,9","2,2","11,6","1,04","0,2","1,66","6,9","104,8","111,5"
David Duke Jr.,Bro,G,"22,34",18,"16,2","33,7","16,4","7,2",19,"0,842",62,"0,419",32,"0,281","0,42","0,464","5,3","3,4","11,5","0,8",7,"0,67","0,33","0,44",6,"108,3","104,2"
Kevin Durant,Bro,F,"33,38",36,"36,5",76,"31,2","11,3",255,"0,894",549,"0,568",180,"0,372","0,566","0,626","29,3","7,4","10,9","5,8","27,6","0,78","0,94","2,97","11,8","120,1","109,1"
Jaime Echenique,Was,C,"24,81",1,"3,1","6,5",0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
Anthony Edwards,Min,G,"20,53",51,35,"72,9","27,3","12,4",199,"0,794",487,"0,513",448,"0,362","0,527","0,559","22,4","4,8","7,3","3,7","16,9","1,53","0,71","2,84","8,4",107,"109,2"
Kessler Edwards,Bro,F,"21,52",26,"25,5","53,2","13,4","14,1",10,"0,8",86,"0,477",87,"0,345","0,497","0,507","6,9","4,4","9,3","0,6","3,2","0,85","0,65","1,12","4,1","96,2","106,9"
Rob Edwards,Okc,G,"25,07",2,"5,5","11,4","19,9",20,0,0,0,0,4,"0,25","0,375","0,375","1,5","1,5",14,0,0,0,0,"0,5",0,"59,8","111,3"
CJ Elleby,Por,F-G,"21,67",34,"14,7","30,5","14,4","10,3",24,"0,833",78,"0,487",59,"0,305","0,474","0,508","4,4","2,9","10,8","1,1","11,2","0,5","0,18","0,5","6,6","110,5","105,5"
Wayne Ellington,Lal,G,"34,21",34,"19,3","40,2","13,1","7,5",5,"0,8",17,"0,471",166,"0,392","0,577","0,58","6,3","1,7","4,7","0,7",5,"0,53","0,06","0,44","4,1","111,1","111,6"
Joel Embiid,Phi,C-F,"27,92",44,33,"68,7","37,3","10,7",488,"0,814",694,"0,523",163,"0,362","0,527","0,607","29,5","11,2","18,7","4,5","25,6","1,05","1,5","2,91","13,8","119,2",100
James Ennis III,Bro,F,"31,63",2,"6,9","14,3","22,1",0,0,0,5,"0,2",2,"0,5","0,357","0,357","2,5","2,5","19,6",0,0,"0,5","0,5",0,0,"92,4","110,8"
James Ennis III,Lac,F,"31,63",2,"14,1","29,3","21,5","7,3",4,1,7,"0,714",4,"0,5","0,727","0,784",10,"2,5","9,4",0,0,"0,5","0,5","0,5",0,145,"98,2"
James Ennis III,Den,F,"31,63",3,"4,6","9,7","23,6","13,4",1,0,4,"0,5",2,0,"0,333","0,311","1,3","0,7",8,1,"30,6",0,0,"0,33","8,4","82,3","110,1"
Drew Eubanks,San,F-C,"25,04",49,"12,1","25,3","17,1","19,2",79,"0,747",151,"0,55",8,"0,125","0,531","0,588","4,7",4,"17,3",1,"11,1","0,27","0,61","0,94","8,8","113,3","102,5"
Tacko Fall,Cle,C,"26,18",11,"5,3","11,1","13,5","16,6",7,"0,286",12,"0,417",0,0,"0,417","0,398","1,1","2,1","21,2","0,2","4,6",0,"0,55","0,27","5,8","91,7","101,3"
Derrick Favors,Okc,F,"30,59",37,"16,9","35,2","13,5","4,6",22,"0,636",160,"0,556",16,"0,125","0,523","0,533","5,4","4,8","14,4","0,6","6,1","0,41","0,32","0,24","5,9","118,5","101,6"
Bruno Fernando,Bos,F-C,"23,51",20,"2,9","6,1",16,"23,6",5,"0,8",13,"0,462",1,1,"0,536","0,586",1,"0,8","13,7","0,2","9,9",0,"0,15","0,25","7,5",,
Dorian Finney-Smith,Dal,F,"28,79",56,"32,7","68,2","13,8",11,66,"0,682",188,"0,548",286,"0,36","0,543","0,557",10,"4,8","8,1","1,9","8,5","1,2","0,5","1,11","5,5","112,3","103,5"
Malik Fitts,Uta,F,20,7,5,"10,4","13,7","18,2",0,0,5,0,4,"0,5","0,333","0,333","0,9","1,4","15,6",0,0,0,0,"0,29",0,"56,7","101,1"
Malachi Flynn,Tor,G,"23,77",33,"9,1","18,9","17,2","8,3",9,"0,667",51,"0,431",55,"0,291","0,434","0,446",3,"1,1","6,5",1,"16,1","0,42","0,09","0,3","6,5",102,"103,9"
Bryn Forbes,San,G,"28,57",40,"16,9","35,2",22,"9,4",49,"0,898",145,"0,448",151,"0,417","0,539","0,572","9,1","1,6","4,9",1,"8,5","0,43","0,08","0,83","5,8",107,"110,9"
Bryn Forbes,Den,G,"28,57",14,"19,4","40,4","21,8","6,7",13,"0,923",63,"0,444",56,"0,411","0,525","0,549","9,8","1,2","3,5","1,2","9,5","0,14","0,07","0,64",5,"106,6","108,2"
Aleem Ford,Orl,F,20,5,"14,7","30,6","14,2","16,7",0,0,5,"0,8",15,"0,133","0,35","0,35","2,8",3,"10,9","0,4","3,9","0,2",0,"0,8","4,1","67,2",106
Trent Forrest,Uta,G,"23,68",45,"12,2","25,5","12,6","23,9",34,"0,794",88,"0,591",18,"0,222","0,547","0,591","3,2","1,7","7,4","1,5","16,3","0,51","0,07","0,84","6,6","110,8","106,1"
Evan Fournier,Nyk,G-F,"29,3",56,"29,5","61,4","21,3","9,7",83,"0,723",267,"0,472",419,"0,396","0,547","0,561","14,5",3,"5,4","1,8","10,4","0,96","0,27","1,39","5,8","108,4","107,5"
De'Aaron Fox,Sac,G,"24,16",47,"34,3","71,4","28,4","12,1",277,"0,755",643,"0,515",176,"0,267","0,49","0,538","21,5","3,9",6,"5,1","24,4","1,13","0,4","2,77","8,8","105,8","110,1"
Tim Frazier,Orl,G,"31,29",10,20,"41,6",13,"21,7",9,"0,556",26,"0,269",17,"0,353","0,372","0,394","3,7","1,9","5,1","3,3","22,9","0,3","0,1","1,3","5,7","88,9","106,3"
Enes Freedom,Bos,C,"29,74",35,"11,8","24,5","13,8","15,5",28,"0,857",92,"0,533",5,"0,4","0,536","0,585","3,7","4,6","20,7","0,2","2,8","0,14","0,4","0,57","5,1",121,"96,4"
Wenyen Gabriel,Bro,F,"24,89",1,"1,3","2,7",0,,0,0,0,0,0,0,,,0,1,"41,3",0,0,0,0,0,0,,
Wenyen Gabriel,Lac,F,"24,89",6,"7,7","16,1","16,9","16,9",4,"0,5",8,"0,375",5,"0,4","0,462","0,474","2,3","2,3","15,9","0,3","6,1","0,17","0,33","0,5","6,1","97,6","85,5"
Daniel Gafford,Was,F-C,"23,38",48,"20,6","42,9","15,7","12,6",86,"0,756",267,"0,678",0,0,"0,678","0,7","8,9",6,"15,9",1,"7,6","0,4","1,54","0,92","7,3","135,2","102,5"
Danilo Gallinari,Atl,F,"33,52",45,"23,2","48,2","17,8","6,4",110,"0,918",170,"0,441",179,"0,391","0,516","0,58","10,2","4,4","10,4","1,4","8,3","0,44","0,2","0,6","6,9","119,8","110,7"
Langston Galloway,Bro,G,"30,19",4,"14,6","30,3","13,4","27,8",0,0,5,"0,6",8,"0,25","0,462","0,462",3,2,"7,4","1,3","11,1",0,0,"1,25","5,4","79,8","108,8"
Langston Galloway,Mil,G,"30,19",3,"16,2","33,7","12,4","7,1",0,0,5,"0,2",8,0,"0,077","0,077","0,7","3,3","10,9","2,3","17,4","0,33",0,"0,33","4,3","55,8",109
Darius Garland,Cle,G,"22,06",46,"34,6",72,"26,7","17,8",110,"0,909",434,"0,544",310,"0,377","0,553","0,582","20,1","3,3","5,3",8,"38,3","1,2","0,09","3,74","9,4","110,2","105,8"
Marcus Garrett,Mia,G,"23,27",12,"10,7","22,3","8,7","7,9",5,"0,4",17,"0,235",4,"0,25","0,262","0,28","1,1","1,9","10,1","0,6",7,"0,42","0,25","0,17",4,"89,7","97,6"
Usman Garuba,Hou,F,"19,94",15,7,"14,5","11,3","10,8",2,"0,5",11,"0,545",13,"0,154","0,375","0,382","1,3","2,3","17,9","0,5","10,5","0,47","0,4","0,2","6,5","99,3","105,9"
Luka Garza,Det,C,"23,14",29,"11,7","24,4","20,1","10,7",42,"0,643",83,"0,494",41,"0,341","0,5","0,53","5,2",3,"13,7","0,6","7,7","0,28","0,14","0,59","7,2","111,8","103,5"
Rudy Gay,Uta,F-G,"35,5",35,20,"41,6","19,5","9,6",62,"0,79",112,"0,518",144,"0,34","0,514","0,551","8,9","4,6","12,6","1,1",8,"0,57","0,34","0,86","7,1","112,9","101,3"
Paul George,Lac,F,"31,79",26,"35,5",74,"34,1","15,2",117,"0,88",339,"0,484",217,"0,323","0,484","0,528","24,7","7,1","10,5","5,5","27,1","2,04","0,38","4,19","11,1","97,7","102,3"
Taj Gibson,Nyk,F,"36,65",38,"18,1","37,6","9,2",16,33,"0,758",85,"0,576",21,"0,381","0,575","0,61","3,9","4,4",13,"0,7","5,2","0,42","0,82","0,61","5,1","124,2","96,3"
Josh Giddey,Okc,G,"19,35",52,"31,3","65,3","22,2","19,6",78,"0,705",431,"0,49",206,"0,267","0,461","0,478","12,3","7,7","12,5","6,3","33,1","0,92","0,38","3,15","10,8","97,3","106,3"
Shai Gilgeous-Alexander,Okc,G-F,"23,6",43,"34,6",72,"29,8","10,1",297,"0,811",547,"0,488",241,"0,278","0,466","0,531","22,7","4,7","6,9","5,5",29,"1,14","0,79","2,4","9,7","108,5","106,7"
Anthony Gill,Was,F,"29,33",24,8,"16,6","13,5","13,7",21,"0,714",33,"0,697",8,"0,625","0,744","0,756","3,2","1,5","10,3","0,5","8,5","0,08","0,17","0,33","6,7","141,4","100,2"
Freddie Gillespie,Orl,F,20,9,"13,2","27,5",11,"16,6",7,"0,429",21,"0,429",1,0,"0,409","0,419","2,3",4,"16,1","0,6","5,9","0,33",1,"0,56","5,4","97,8","98,3"
Rudy Gobert,Uta,C,"29,64",43,"32,2","67,2","17,1","14,3",284,"0,69",341,"0,716",2,0,"0,711","0,731","15,9","14,9","25,1","1,2","5,5","0,77","2,23","1,81","8,2","138,4","98,1"
Brandon Goodwin,Cle,G,"26,37",16,"15,9",33,19,"16,5",14,"0,5",53,"0,396",32,"0,375","0,459","0,466","5,3","2,4","8,1","3,1","27,9",1,0,"1,13","8,6","100,4","98,7"
Jordan Goodwin,Was,G,"23,32",2,3,"6,1","22,6",0,0,0,2,0,1,0,0,0,0,"0,5","9,2",0,0,0,0,0,0,,
Aaron Gordon,Den,F,"26,42",52,"31,8","66,2","19,3","12,9",151,"0,735",380,"0,608",183,"0,339","0,575","0,603","14,6","5,7",10,"2,6","12,1","0,69","0,54","1,79","7,6","115,3","108,7"
Eric Gordon,Hou,G,"33,14",46,"29,5","61,4","19,1","14,8",118,"0,763",228,"0,553",240,"0,429","0,599","0,626","14,2",2,"3,8",3,"16,1","0,5","0,37","1,96",6,"113,9","119,5"
Devonte' Graham,Nor,G,"26,98",53,31,"64,5","20,3","10,8",103,"0,845",203,"0,394",437,"0,343","0,477","0,509","13,2","2,5","4,5","4,5",22,"0,94","0,15","1,57","6,8","106,9","112,7"
Jerami Grant,Det,F,"27,93",32,"32,3","67,3",26,"10,3",180,"0,839",320,"0,453",165,"0,327","0,466","0,534","18,8","4,3","7,2","2,5","13,4","0,94","1,09","2,03","7,3","104,5","111,1"
Hassani Gravett,Orl,G,"25,58",8,"21,4","44,6","12,4","18,5",4,"0,75",12,"0,583",26,"0,423","0,618","0,629","6,3","2,6","6,5","2,5","17,1","0,63","0,13","1,13","6,4","112,8",109
Danny Green,Phi,G,"34,65",38,"23,4","48,7","12,9","13,8",10,"0,9",35,"0,514",179,"0,385","0,568","0,577","6,6","2,5",6,1,"6,1","1,05","0,76","0,92","4,4","105,2","106,1"
Draymond Green,Gol,F,"31,95",34,"29,9","62,4","14,4","31,5",67,"0,597",159,"0,604",42,"0,286","0,567","0,581","7,9","7,6","13,6","7,4","33,7","1,38","1,21","3,12","10,2",110,"96,3"
Javonte Green,Chi,G-F,"28,57",41,"24,1","50,2","11,9",9,74,"0,824",152,"0,618",59,"0,322","0,581","0,628","7,5","4,3",10,"1,1","6,1","0,9","0,54","0,59","5,5","131,4","105,7"
Jalen Green,Hou,G,"20,02",41,"30,3","63,1",23,14,149,"0,819",263,"0,46",250,"0,3","0,455","0,509","14,4","3,2","5,9","2,4","12,1","0,59","0,17","2,29","6,3","96,5","116,8"
JaMychal Green,Den,F-C,"31,66",44,"14,8","30,9","19,3","13,7",57,"0,86",126,"0,595",95,"0,263","0,509","0,557","6,2","3,7",14,"0,8","8,1","0,7","0,43","0,89","7,1","108,4","95,4"
Jeff Green,Den,F,"35,47",53,"24,7","51,4","16,9","9,8",138,"0,826",263,"0,601",129,"0,326","0,564","0,614","10,5","3,2","7,2","1,3","7,4","0,32","0,4","0,92","5,7","117,7","106,6"
