ID,Nom,Âge,Taille,Poids,Nationalité,Poste,Matchs,E,T,P,D,J,R,Temps,Club
5812,NOSTADT Julius,29,185,118,Allemagne,Pilier,1,,,,,,,19,Castres
5822,TYRELL Josh,31,194,116,Samoa,2ème ligne,9,1,,,,,,412,Biarritz
5849,WHITELOCK Luke,31,190,116,Nouvelle-Zélande,3ème ligne,11,,,,,,,869,Pau
5858,BAMBA Demba,23,185,124,France,Pilier,10,1,,,,,,589,Lyon
5859,CHAUVAC Simon-Pierre,23,190,119,France,Pilier,10,,,,,,,528,Brive
5869,CUMMINS Steven,29,202,120,Australie,2ème ligne,14,,,,,,,784,Pau
5878,AHKI Pita,29,189,97,Nouvelle-Zélande,Centre,12,,,,,,,896,Toulouse
5880,WEST Ihaia,30,175,85,Nouvelle-Zélande,Ouverture,9,3,19,21,,,,692,La Rochelle
5881,NGATAI Charlie,31,188,104,Nouvelle-Zélande,Centre,12,2,,,,1,,832,Lyon
5904,TAUFUA Jordan,30,187,110,Samoa,3ème ligne,15,4,,,,,,1023,Lyon
5907,AOUF Léo,24,182,119,France,Pilier,7,,,,,,,209,La Rochelle
5908,JOSEPH Jordan,21,190,124,France,3ème ligne,8,2,,,,,,491,Pau
5908,JOSEPH Jordan,21,190,124,France,3ème ligne,2,,,,,,,53,Racing 92
5909,BARLOT Gaëtan,24,184,107,France,Talonneur,13,2,,,,,,799,Castres
5910,DUGUIVALU Alivereti,24,180,85,Fidji,Centre,12,3,,,,,,741,Perpignan
6008,CHAPUIS Ryan,24,189,105,France,3ème ligne,6,1,,,,,,335,Paris
6020,HENRY Zack,27,182,89,Angleterre,Ouverture,10,,5,16,1,,,680,Pau
6023,ALO-EMILE Moses,22,187,130,Australie,Pilier,13,1,,,,,,591,Paris
6039,ABADIE Esteban,24,188,95,France,3ème ligne,9,,,,,,,579,Brive
6046,LUC Aymeric,24,180,81,France,Arrière,14,3,,,,,,1094,Toulon
6053,DELIBES Dimitri,22,190,85,France,Ailier,4,1,,,,,,151,Toulouse
